name,description,sku,barcode,category_id,location_id,location,min_stock,max_stock,purchase_price,sale_price,tax_rate,status
ROSETA JAPAN 43T,,JAPAN43,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,48,70,0,active
ROSETA JAPAN 45T,,JAPAN45,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,52,80,0,active
ROSETA JAPAN 45T,,JAPAN45-1,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,57,80,0,active
ROSETA JAPAN 47T,,JAPAN47,,001262e8-40e3-491e-85ef-37f2e3b37eae,,01A02E08-W,5,,62,80,0,active
CADENA JAPAN,,JAPANCH,,001262e8-40e3-491e-85ef-37f2e3b37eae,,02A02E10-A,5,,60,90,0,active
CADENA JAPAN,,JAPANCH-1,,001262e8-40e3-491e-85ef-37f2e3b37eae,,02A02E10-A,5,,61,85,0,active
"PAR DE BALATAS 0,25 JAPAN",,JAPN025,,001262e8-40e3-491e-85ef-37f2e3b37eae,,02A02E10-A,5,,29,40,0,active
"PAR DE BALATAS 0,50 JAPAN",,JAPN050,,001262e8-40e3-491e-85ef-37f2e3b37eae,,02A02E10-A,5,,29,40,0,active
PAR DE BALATAS JAPAN BM150,,JAPN150,,001262e8-40e3-491e-85ef-37f2e3b37eae,,02A02E10-A,5,,28,40,0,active
GUIA DE CADENA ARRASTRE,,JB122003,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A01E09-A,5,,23.8,35,0,active
PERNO DE BRIDA M10,,JB122016,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-W,5,,7,11,0,active
JUEGO DE ZAPATA DE FRENO,,JB131804-A,,5c4923ea-5fd4-4c1a-8425-a64e22d071bf,,02A04E15-C,5,,29,40,0,active
PIN DE VARILLA DE FRENO,,JB161002,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E05-C,5,,2.1,4,0,active
PERNO POSTERIOR DE CUBRE CADENA SUPERIOR,,JB181220,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-W,5,,2.8,4,0,active
COMANDO IZQUIERDO,,JB401400,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-C,5,,121.8,183,0,active
COMANDO IZQUIERDO,,JB401400-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,03A01TE01-D,5,,121.8,183,0,active
INTERRUPTOR DE EMBRAGUE,,JB401409,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E01-C,5,,27.3,41,0,active
EMBOLO DE ACEITE,,JB531021,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A02E07-A,5,,7.7,11,0,active
SENSOR TPS DE POSICION ACELERADOR,,JB581202,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,01A01E01-C,5,,39.2,59,0,active
ORING DE TPS,,JB581204,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-C,5,,7,11,0,active
TEMPLADOR AUTOMATICO,,JC101034,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E15-A,5,,81.2,122,0,active
KIT DE GUIA DE CADENA,,JC101038,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E15-A,5,,37.8,57,0,active
CABLE DE VELOCIMETRO,,JC151019,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,147,221,0,active
CARCAZA DE SENSOR DE VELOCIDAD,,JC151020,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,62.3,93,0,active
COJIN,,JC181023,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E15-A,5,,4.9,7,0,active
JUEGO DE SEGUROS Y CHAPA DE CONTACTO,,JC181029,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,273,410,0,active
CABLE DE EMBRAGUE,,JC191004,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,75.6,113,0,active
SWITCH DE FRENO POSTERIOR,,JC201004,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E15-A,5,,58.8,88,0,active
CABLE DE ACELERADOR,,JD161200,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,51.8,78,0,active
PARABRISAS,,JD181240,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E13-C,5,,95.2,142,0,active
PARABRISAS,,JD181240-1,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E15-D,5,,95.2,142,0,active
DIRECCIONAL DEL/POST IZQUIERDO,,JD401003,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,01A01E02-C,5,,69.3,104,0,active
EMPAQUE DE CULATA,,JD511008,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,27.3,41,0,active
EMPAQUE DE CUBIERTA DE CULATA,,JD511010,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,02A04E15-A,5,,31.5,47,0,active
EMPAQUE DE CUBIERTA DE CULATA,,JD511010-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB4-A,5,,31.5,47,0,active
BALANCIN,,JD511207,,774f9116-36fd-40b9-9bbd-a8c2c0569b99,,02A04E12-B,5,,118.3,177,0,active
AMARRILLA,,JD521002,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-C,5,,8.4,13,0,active
EMPAQUE DE CILINDRO,,JD521002-1,,f83f3bdf-e3ec-4256-a6e7-32400aee549f,,VITRINAB5-C,5,,8.4,13,0,active
